match_id,series_id,start_time,radiant_win,radiant_score,dire_score,duration,first_blood_time,radiant_team,dire_team,kills
6566556663,666722,2022-05-12,False,8,33,1982,104,Evil Geniuses,Tundra Esports,41
6569502056,667297,2022-05-14,False,26,56,3072,122,beastcoast,Tundra Esports,82
6568000902,666972,2022-05-13,True,42,18,2491,0,BetBoom Team,Tundra Esports,60
6568099598,666988,2022-05-13,False,7,24,1555,204,OG,Tundra Esports,31
6581700268,669715,2022-05-22,True,33,15,2110,6,OG,Tundra Esports,48
6569733548,667334,2022-05-14,False,13,39,2233,196,BOOM Esports,Tundra Esports,52
6571204733,667592,2022-05-15,False,10,25,1375,45,T1,Tundra Esports,35
6575811382,668557,2022-05-18,False,30,40,3864,192,Thunder Awaken,Tundra Esports,70
6580245004,669427,2022-05-21,False,13,38,2706,257,TSM FTX,Tundra Esports,51
6580376211,669427,2022-05-21,True,51,23,2669,111,TSM FTX,Tundra Esports,74
6580504708,669427,2022-05-21,True,35,14,1864,46,TSM FTX,Tundra Esports,49
6572659357,668020,2022-05-16,False,13,33,2001,0,Team Spirit,Tundra Esports,46
6572822253,668020,2022-05-16,False,11,33,2662,155,Team Spirit,Tundra Esports,44
6566781397,666748,2022-05-12,False,9,30,1883,116,Evil Geniuses,T1,39
6568101177,666989,2022-05-13,True,40,37,3403,208,beastcoast,T1,77
6568003158,666974,2022-05-13,False,17,35,2080,281,OG,T1,52
6571280989,667592,2022-05-15,True,22,27,1773,310,Tundra Esports,T1,49
6575506610,668524,2022-05-18,True,33,15,2687,236,Fnatic,T1,48
6575589562,668524,2022-05-18,False,12,23,2633,72,Fnatic,T1,35
6575685774,668524,2022-05-18,True,19,8,2387,440,Fnatic,T1,27
6573503063,668138,2022-05-16,True,34,11,2008,11,Gaimin Gladiators,T1,45
6568101413,666990,2022-05-13,True,33,12,2200,108,Evil Geniuses,BOOM Esports,45
6567999161,666975,2022-05-13,False,25,43,2126,121,beastcoast,BOOM Esports,68
6566559541,666724,2022-05-12,False,15,36,2184,2,BetBoom Team,BOOM Esports,51
6566627889,666724,2022-05-12,True,29,4,1727,0,BetBoom Team,BOOM Esports,33
6566885647,666744,2022-05-12,True,50,18,2190,161,OG,BOOM Esports,68
6574739883,668354,2022-05-17,True,42,30,3132,263,OG,BOOM Esports,72
6569867107,667334,2022-05-14,True,20,14,1856,52,Tundra Esports,BOOM Esports,34
6569495782,667295,2022-05-14,False,11,30,1996,241,T1,BOOM Esports,41
6569582522,667295,2022-05-14,True,36,19,2839,202,T1,BOOM Esports,55
6569705664,667327,2022-05-14,False,12,37,2232,263,Evil Geniuses,OG,49
6566559037,666723,2022-05-12,False,16,33,1815,148,beastcoast,OG,49
6571200692,667589,2022-05-15,False,33,23,2557,50,BetBoom Team,OG,56
6568188836,666988,2022-05-13,True,43,16,1861,129,Tundra Esports,OG,59
6581622092,669715,2022-05-22,False,12,31,1648,234,Tundra Esports,OG,43
6566767216,666744,2022-05-12,True,33,10,2667,565,BOOM Esports,OG,43
6574848748,668354,2022-05-17,False,20,35,2489,209,BOOM Esports,OG,55
6567920917,666974,2022-05-13,True,34,28,2587,32,T1,OG,62
6580016442,669374,2022-05-21,False,14,34,1947,110,Thunder Awaken,OG,48
6578674296,669098,2022-05-20,False,16,34,2698,134,Fnatic,OG,50
6578909443,669098,2022-05-20,False,40,26,3846,0,Fnatic,OG,66
6573407404,668094,2022-05-16,True,38,17,2368,45,TSM FTX,OG,55
6582012262,669760,2022-05-22,True,31,9,2027,259,TSM FTX,OG,40
6582140888,669760,2022-05-22,False,14,45,2283,186,TSM FTX,OG,59
6582249405,669760,2022-05-22,False,27,31,2518,176,TSM FTX,OG,58
6582379623,669760,2022-05-22,False,4,37,2021,193,TSM FTX,OG,41
6580625364,669498,2022-05-21,False,10,27,1957,280,Gaimin Gladiators,OG,37
6571201844,667590,2022-05-15,True,27,12,2478,220,Evil Geniuses,beastcoast,39
6571305244,667590,2022-05-15,False,22,30,1891,137,Evil Geniuses,beastcoast,52
6566744482,666738,2022-05-12,True,35,16,1999,11,BetBoom Team,beastcoast,51
6578511105,669060,2022-05-20,False,35,36,2966,11,BetBoom Team,beastcoast,71
6566631729,666723,2022-05-12,True,41,35,3147,0,OG,beastcoast,76
6569623765,667297,2022-05-14,True,45,20,2108,150,Tundra Esports,beastcoast,65
6567928490,666975,2022-05-13,False,17,22,1915,0,BOOM Esports,beastcoast,39
6568237950,666989,2022-05-13,True,51,20,3134,110,T1,beastcoast,71
6579091075,669194,2022-05-20,True,43,12,1833,407,Gaimin Gladiators,beastcoast,55
6566840888,666738,2022-05-12,True,18,13,2369,290,beastcoast,BetBoom Team,31
6578354994,669060,2022-05-20,False,14,26,2679,237,beastcoast,BetBoom Team,40
6578432820,669060,2022-05-20,True,28,19,2134,7,beastcoast,BetBoom Team,47
6571306390,667589,2022-05-15,True,46,29,2682,382,OG,BetBoom Team,75
