is_pick,match_id,order,team,hero,win
False,6566556663,0,Evil Geniuses,Io,0
False,6566556663,1,Tundra Esports,Mars,1
False,6566556663,2,Evil Geniuses,Chaos Knight,0
False,6566556663,3,Tundra Esports,Pugna,1
True,6566556663,4,Evil Geniuses,Storm Spirit,0
True,6566556663,5,Tundra Esports,Grimstroke,1
True,6566556663,6,Tundra Esports,Doom,1
True,6566556663,7,Evil Geniuses,Terrorblade,0
False,6566556663,8,Evil Geniuses,Necrophos,0
False,6566556663,9,Tundra Esports,Keeper of the Light,1
False,6566556663,10,Evil Geniuses,Viper,0
False,6566556663,11,Tundra Esports,Witch Doctor,1
False,6566556663,12,Evil Geniuses,Timbersaw,0
False,6566556663,13,Tundra Esports,Shadow Demon,1
True,6566556663,14,Tundra Esports,Visage,1
True,6566556663,15,Evil Geniuses,Nature's Prophet,0
True,6566556663,16,Evil Geniuses,Jakiro,0
True,6566556663,17,Tundra Esports,Void Spirit,1
False,6566556663,18,Evil Geniuses,Troll Warlord,0
False,6566556663,19,Tundra Esports,Pangolier,1
False,6566556663,20,Evil Geniuses,Monkey King,0
False,6566556663,21,Tundra Esports,Tusk,1
True,6566556663,22,Evil Geniuses,Sand King,0
True,6566556663,23,Tundra Esports,Wraith King,1
True,6566559541,7,BetBoom Team,Io,0
True,6566559541,4,BetBoom Team,Mars,0
True,6566559541,15,BetBoom Team,Chaos Knight,0
False,6566559541,2,BetBoom Team,Storm Spirit,0
True,6566559541,5,BOOM Esports,Grimstroke,1
False,6566559541,18,BetBoom Team,Terrorblade,0
False,6566559541,0,BetBoom Team,Keeper of the Light,0
False,6566559541,1,BOOM Esports,Visage,1
False,6566559541,3,BOOM Esports,Nature's Prophet,1
True,6566559541,22,BetBoom Team,Pangolier,0
True,6566559541,6,BOOM Esports,Sand King,1
False,6566559541,20,BetBoom Team,Tiny,0
False,6566559541,12,BetBoom Team,Templar Assassin,0
True,6566559541,17,BOOM Esports,Kunkka,1
False,6566559541,13,BOOM Esports,Lina,1
False,6566559541,8,BetBoom Team,Ember Spirit,0
False,6566559541,9,BOOM Esports,Leshrac,1
False,6566559541,10,BetBoom Team,Medusa,0
False,6566559541,11,BOOM Esports,Death Prophet,1
True,6566559541,14,BOOM Esports,Mirana,1
True,6566559541,16,BetBoom Team,Disruptor,0
False,6566559541,19,BOOM Esports,Dragon Knight,1
False,6566559541,21,BOOM Esports,Invoker,1
True,6566559541,23,BOOM Esports,Bloodseeker,1
False,6566656802,1,Evil Geniuses,Io,0
False,6566656802,0,Tundra Esports,Mars,1
False,6566656802,3,Evil Geniuses,Chaos Knight,0
True,6566656802,4,Tundra Esports,Pugna,1
True,6566656802,6,Evil Geniuses,Storm Spirit,0
False,6566656802,8,Tundra Esports,Grimstroke,1
False,6566656802,11,Evil Geniuses,Doom,0
False,6566656802,20,Tundra Esports,Necrophos,1
False,6566656802,2,Tundra Esports,Viper,1
False,6566656802,13,Evil Geniuses,Timbersaw,0
False,6566656802,9,Evil Geniuses,Visage,0
True,6566656802,7,Tundra Esports,Pangolier,1
False,6566656802,12,Tundra Esports,Sand King,1
False,6566656802,19,Evil Geniuses,Wraith King,0
True,6566656802,14,Evil Geniuses,Tiny,0
False,6566656802,18,Tundra Esports,Underlord,1
False,6566656802,21,Evil Geniuses,Medusa,0
True,6566656802,22,Tundra Esports,Dragon Knight,1
True,6566656802,17,Evil Geniuses,Bloodseeker,0
True,6566656802,5,Evil Geniuses,Enchantress,0
False,6566656802,10,Tundra Esports,Bane,1
True,6566656802,15,Tundra Esports,Beastmaster,1
True,6566656802,16,Tundra Esports,Hoodwink,1
True,6566656802,23,Evil Geniuses,Tidehunter,0
True,6566744482,16,BetBoom Team,Io,1
False,6566744482,3,beastcoast,Mars,0
False,6566744482,8,BetBoom Team,Chaos Knight,1
True,6566744482,4,BetBoom Team,Storm Spirit,1
False,6566744482,13,beastcoast,Grimstroke,0
True,6566744482,6,beastcoast,Keeper of the Light,0
False,6566744482,2,BetBoom Team,Timbersaw,1
False,6566744482,0,BetBoom Team,Shadow Demon,1
False,6566744482,1,beastcoast,Visage,0
True,6566744482,7,BetBoom Team,Nature's Prophet,1
False,6566744482,9,beastcoast,Pangolier,0
False,6566744482,19,beastcoast,Razor,0
True,6566744482,5,beastcoast,Nyx Assassin,0
False,6566744482,10,BetBoom Team,Lina,1
True,6566744482,22,BetBoom Team,Slardar,1
False,6566744482,12,BetBoom Team,Ember Spirit,1
True,6566744482,14,beastcoast,Leshrac,0
True,6566744482,15,BetBoom Team,Disruptor,1
False,6566744482,21,beastcoast,Dragon Knight,0
False,6566744482,18,BetBoom Team,Winter Wyvern,1
False,6566744482,11,beastcoast,Shadow Shaman,0
True,6566744482,17,beastcoast,Sven,0
False,6566744482,20,BetBoom Team,Ancient Apparition,1
True,6566744482,23,beastcoast,Lich,0
False,6566781397,0,Evil Geniuses,Io,0
False,6566781397,3,T1,Mars,1
False,6566781397,1,T1,Pugna,1
True,6566781397,4,Evil Geniuses,Storm Spirit,0
True,6566781397,5,T1,Grimstroke,1
False,6566781397,2,Evil Geniuses,Doom,0
False,6566781397,21,T1,Terrorblade,1
False,6566781397,9,T1,Keeper of the Light,1
False,6566781397,12,Evil Geniuses,Viper,0
True,6566781397,7,Evil Geniuses,Timbersaw,0
False,6566781397,13,T1,Shadow Demon,1
True,6566781397,23,T1,Nature's Prophet,1
True,6566781397,14,T1,Void Spirit,1
False,6566781397,19,T1,Troll Warlord,1
False,6566781397,8,Evil Geniuses,Monkey King,0
False,6566781397,18,Evil Geniuses,Razor,0
True,6566781397,22,Evil Geniuses,Medusa,0
True,6566781397,6,T1,Dragon Knight,1
True,6566781397,15,Evil Geniuses,Abaddon,0
False,6566781397,11,T1,Enchantress,1
